ID,Name,Description,Procedures
T1552,Unsecured Credentials,"Adversaries may search compromised systems to find and obtain insecurely stored credentials. These credentials can be stored and/or misplaced in many locations on a system, including plaintext files (e.g. [Bash History] operating system or application-specific repositories (e.g. [Credentials in Registry] or other specialized files/artifacts (e.g. [Private Keys]","['[Pacu] can search for sensitive data: for example, in Code Build environment variables, EC2 user data, and Cloud Formation templates.', '[Astaroth] uses an external software known as NetPass to recover passwords. ']"
T1055,Process Injection,"Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via process injection may also evade detection from security products since the execution is masked under a legitimate process.   There are many different ways to inject code into a process, many of which abuse legitimate functionalities. These implementations exist for every major OS but are typically platform specific.   More sophisticated samples may perform multiple process injections to segment modules and further evade detection, utilizing named pipes or other inter-process communication (IPC) mechanisms as a communication channel. ","['[Agent Tesla] can inject into known, vulnerable binaries on targeted hosts. ', '[Lizar] can migrate the loader into another process.', '[SLOTHFULMEDIA] can inject into running processes on a compromised host.', '[IronNetInjector] can use an IronPython scripts to load a .NET injector to inject a payload into its own or a remote process.', '[BADHATCH] can inject itself into an existing explorer.exe process by using `RtlCreateUserThread`.', '[HyperBro] can run shellcode it injects into a newly created process.', '[Sliver] can inject code into local and remote processes.', '[Bazar] can inject code through calling <code>VirtualAllocExNuma</code>.', '[Silence] has injected a DLL library containing a Trojan into the fwmain32.exe process.', '[TSCookie] has the ability to inject code into the svchost.exe, iexplorer.exe, explorer.exe, and default browser processes.', '[REvil] can inject itself into running processes on a compromised host.', '[Donut] includes a subproject <code>DonutTest</code> to inject shellcode into a target process.\t', '[BBK] has the ability to inject shellcode into svchost.exe.', '[GuLoader] has the ability to inject shellcode into a donor processes that is started in a suspended state. [GuLoader] has previously used RegAsm as a donor process.', '[APT32] malware has injected a Cobalt Strike beacon into Rundll32.exe.', '[Wizard Spider] has used process injection to execute payloads to escalate privileges.', '[ANDROMEDA] can inject into the `wuauclt.exe` process to perform C2 actions.', '[AuditCred] can inject code from files to other running processes.', '[gh0st RAT] can inject malicious code into process created by the “Command_Create&Inject” function.', '[NETWIRE] can inject code into system processes including notepad.exe, svchost.exe, and vbc.exe.', '[Backdoor.Oldrea] injects itself into explorer.exe.', '[Remcos] has a command to hide itself through injecting into another process.', '[Waterbear] can inject decrypted shellcode into the LanmanServer service.', '[SILENTTRINITY] can inject shellcode directly into Excel.exe or a specific process.', '[Cobalt Strike] can inject a variety of payloads into processes dynamically chosen by the adversary.', '[HTRAN] can inject into into running processes.', '[Clambling] can inject into the `svchost.exe` process for execution.', '[Wiarp] creates a backdoor through which remote attackers can inject files into running processes.', '[TA2541] has injected malicious code into legitimate .NET related processes including  regsvcs.exe, msbuild.exe, and installutil.exe.', '[Cobalt Group] has injected code into trusted processes.', '[JPIN] can inject content into lsass.exe to load a module.', ""[StoneDrill] has relied on injecting its payload directly into the process memory of the victim's preferred browser."", '[NavRAT] copies itself into a running Internet Explorer process to evade detection.', '[QakBot] can inject itself into processes including explore.exe, Iexplore.exe, Mobsync.exe., and wermgr.exe.', '[Bumblebee] can inject code into multiple processes on infected endpoints.', '[Empire] contains multiple modules for injecting into processes, such as <code>Invoke-PSInject</code>.', '[APT37] injects its malware variant, [ROKRAT] into the cmd.exe process.', '[Gazer] injects its communication module into an Internet accessible process through which it performs C2.', '[Woody RAT] can inject code into a targeted process by writing to the remote memory of an infected system and then create a remote thread. ', '[InvisiMole] can inject itself into another process to avoid detection including use of a technique called ListPlanting that customizes the sorting algorithm in a ListView structure.', 'During [Operation Wocao] threat actors injected code into a selected process, which in turn launches a command as a child process of the original.', '[Smoke Loader] injects into the Internet Explorer process.', '[PoshC2] contains multiple modules for injecting into processes, such as <code>Invoke-PSInject</code>.', '[ABK] has the ability to inject shellcode into svchost.exe.', '[Avenger] has the ability to inject shellcode into svchost.exe.', 'During [Operation Sharpshooter] threat actors leveraged embedded shellcode to inject a downloader into the memory of Word.    ', '[CostaBricks] can inject a payload into the memory of a compromised host.', '[Cardinal RAT] injects into a newly spawned process created from a native Windows executable.', '[Attor] dispatcher can inject itself into running processes to gain higher privileges and to evade detection.', '[Ryuk] has injected itself into remote processes to encrypt files using a combination of <code>VirtualAlloc</code>, <code>WriteProcessMemory</code>, and <code>CreateRemoteThread</code>.', '[WarzoneRAT] has the ability to inject malicious DLLs into a specific process for privilege escalation.', '[Kimsuky] has used Win7Elevate to inject malicious code into explorer.exe.', '[PLATINUM] has used various methods of process injection including hot patching.', '[ShadowPad] has injected an install module into a newly created process.', '[ROKRAT] can use `VirtualAlloc`, `WriteProcessMemory`, and then `CreateRemoteThread` to execute shellcode within the address space of `Notepad.exe`.', '[HOPLIGHT] has injected into running processes.\t', '[Mis-Type] has been injected directly into a running process, including `explorer.exe`.', '[Dyre] has the ability to directly inject its code into the web browser process.', '[JHUHUGIT] performs code injection injecting its own functions to browser processes.', '[Pandora] can start and inject code into a new `svchost` process.', '[TrickBot] has used <code>Nt*</code> [Native API] functions to inject code into legitimate processes such as <code>wermgr.exe</code>.', 'The [PcShare] payload has been injected into the `logagent.exe` and `rdpclip.exe` processes.', '[APT41] malware TIDYELF loaded the main WINTERLOVE component by injecting it into the iexplore.exe process.', '[Wingbird] performs multiple process injections to hijack system processes and execute malicious code.', '[Egregor] can inject its payload into iexplore.exe process.', '[metaMain] can inject the loader file, Speech02.db, into a process.', 'During the [2015 Ukraine Electric Power Attack] [Sandworm Team] loaded [BlackEnergy] into svchost.exe, which then launched iexplore.exe for their C2. ', '[Turla] has also used [PowerSploit] <code>Invoke-ReflectivePEInjection.ps1</code> to reflectively load a PowerShell payload into a random process on the victim system.', '[Honeybee] uses a batch file to load a DLL into the svchost.exe process.', '[Operation Wocao] has injected code into a selected process, which in turn launches a command as a child process of the original.', '[Sharpshooter] has leveraged embedded shellcode to inject a downloader into the memory of Word.', '[Cobalt Strike] can inject a variety of payloads into processes dynamically chosen by the adversary.', '[HiddenWasp] adds itself to the LD_PRELOAD path and sets a series of environment variables.', 'injects a malicious DLL into the IExplorer.exe process.']"
T1525,Implant Internal Image,"Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular container runtimes such as Docker can be implanted or backdoored. Unlike [Upload Malware] this technique focuses on adversaries implanting an image in a registry within a victim’s environment. Depending on how the infrastructure is provisioned, this could provide persistent access if the infrastructure provisioning tool is instructed to always use the latest image.  A tool has been developed to facilitate planting backdoors in cloud container images. If an adversary has access to a compromised AWS instance, and permissions to list the available container images, they may implant a backdoor such as a [Web Shell]",[]
T1550,Use Alternate Authentication Material,"Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.   Authentication processes generally require a valid identity (e.g., username) along with one or more authentication factors (e.g., password, pin, physical smart card, token generator, etc.). Alternate authentication material is legitimately generated by systems after a user or application successfully authenticates by providing a valid identity and the required authentication factor(s). Alternate authentication material may also be generated during the identity creation process.  Caching alternate authentication material allows the system to verify an identity has successfully authenticated without asking the user to reenter authentication factor(s). Because the alternate authentication must be maintained by the system—either in memory or on disk—it may be at risk of being stolen through [Credential Access] techniques. By stealing alternate authentication material, adversaries are able to bypass system access controls and authenticate to systems without knowing the plaintext password or any additional authentication factors. ","['During the [SolarWinds Compromise] [APT29] used forged SAML tokens that allowed the actors to impersonate users and bypass MFA, enabling [APT29] to access enterprise cloud applications and services.', ""[FoggyWeb] can allow abuse of a compromised AD FS server's SAML token."", '[APT29] used forged SAML tokens that allowed the actors to impersonate users and bypass MFA, enabling [APT29] to access enterprise cloud applications and services.', '[UNC2452] used forged SAML tokens that allowed the actors to impersonate users and bypass MFA, enabling [UNC2452] to access enterprise cloud applications and services.']"
T1589,Gather Victim Identity Information,"Adversaries may gather information about the victim's identity that can be used during targeting. Information about identities may include a variety of details, including personal data (ex: employee names, email addresses, etc.) as well as sensitive details such as credentials.  Adversaries may gather this information in various ways, such as direct elicitation via [Phishing for Information] Information about users could also be enumerated via other active means (i.e. [Active Scanning] such as probing and analyzing responses from authentication services that may reveal valid usernames in a system. Information about victims may also be exposed to adversaries via online or other accessible data sets (ex: [Social Media] or [Search Victim-Owned Websites]  Gathering this information may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains] or [Phishing for Information] establishing operational resources (ex: [Compromise Accounts] and/or initial access (ex: [Phishing] or [Valid Accounts]","['[LAPSUS$] has gathered detailed information of target employees to enhance their social engineering lures.', '[HEXANE] has identified specific potential victims at targeted organizations.', '[FIN13] has researched employees to target for social engineering attacks.', 'For [Operation Dream Job] [Lazarus Group] conducted extensive reconnaissance research on potential targets.', '[APT32] has conducted targeted surveillance against activists and bloggers.', 'During [Operation Wocao] threat actors targeted people based on their organizational roles and privileges.', '[Magic Hound] has acquired mobile phone numbers of potential targets, possibly for mobile malware or additional phishing operations.']"
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.  A specific example is when an adversary injects software into a browser that allows them to inherit cookies, HTTP sessions, and SSL client certificates of a user then use the browser as a way to pivot into an authenticated intranet. Executing browser-based behaviors such as pivoting may require specific process permissions, such as <code>SeDebugPrivilege</code> and/or high-integrity/administrator rights.  Another example involves pivoting browser traffic from the adversary's browser through the user's browser by setting up a proxy which will redirect web traffic. This does not alter the user's traffic in any way, and the proxy connection can be severed as soon as the browser is closed. The adversary assumes the security context of whichever browser process the proxy is injected into. Browsers typically create a new process for each tab that is opened and permissions and certificates are separated accordingly. With these permissions, an adversary could potentially browse to any resource on an intranet, such as [Sharepoint] or webmail, that is accessible through the browser and which the browser has sufficient permissions. Browser pivoting may also bypass security provided by 2-factor authentication.","['[TrickBot] uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page.', '[Dridex] can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.', '[Carberp] has captured credentials when a user performs login through a SSL session.', ""[Melcoz] can monitor the victim's browser for online banking sessions and display an overlay window to manipulate the session in the background."", '[Agent Tesla] has the ability to use form-grabbing to extract data from web data forms.', '[Grandoreiro] can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields.', '[QakBot] can use advanced web injects to steal web banking credentials.', ""[Cobalt Strike] can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates."", '[IcedID] has used web injection attacks to redirect victims to spoofed sites designed to harvest banking and other credentials.  [IcedID] can use a self signed TLS certificate in connection with the spoofed site and simultaneously maintains a live connection with the legitimate site to display the correct URL and certificates in the browser.', '[Chaes] has used the Puppeteer module to hook and monitor the Chrome web browser to collect user information from infected hosts.', '[Ursnif] has injected HTML codes into banking sites to steal sensitive online banking information (ex: usernames and passwords).', ""[Cobalt Strike] can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.""]"
T1491,Defacement,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. Reasons for [Defacement] include delivering messaging, intimidation, or claiming (possibly false) credit for an intrusion. Disturbing or offensive images may be used as a part of [Defacement] in order to cause user discomfort, or to pressure compliance with accompanying messages.  ",[]
T1563,Remote Service Session Hijacking,"Adversaries may take control of preexisting sessions with remote services to move laterally in an environment. Users may use valid credentials to log into a service specifically designed to accept remote connections, such as telnet, SSH, and RDP. When a user logs into a service, a session will be established that will allow them to maintain a continuous interaction with that service.  Adversaries may commandeer these sessions to carry out actions on remote systems. [Remote Service Session Hijacking] differs from use of [Remote Services] because it hijacks an existing session rather than creating a new session using [Valid Accounts]",[]
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,[]
T1087,Account Discovery,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., [Valid Accounts]  Adversaries may use several methods to enumerate accounts, including abuse of existing tools, built-in commands, and potential misconfigurations that leak account names and roles or permissions in the targeted environment.  For examples, cloud environments typically provide easily accessible interfaces to obtain user lists. On hosts, adversaries can use default [PowerShell] and other command line functionality to identify accounts. Information about email addresses and accounts may also be extracted by searching an infected system’s files.","['[ShimRatReporter] listed all non-privileged and privileged accounts available on the machine.', '[Woody RAT] can identify administrator accounts on an infected machine.', ""[XCSSET] attempts to discover accounts from various locations such as a user's Evernote, AppleID, Telegram, Skype, and WeChat data."", 'During the [SolarWinds Compromise] [APT29] obtained a list of users and their roles from an Exchange server using `Get-ManagementRoleAssignment`.', ""[FIN13] has enumerated all users and their roles from a victim's main treasury system."", '[APT29] obtained a list of users and their roles from an Exchange server using <code>Get-ManagementRoleAssignment</code>.', '[UNC2452] obtained a list of users and their roles from an Exchange server using <code>Get-ManagementRoleAssignment</code>.', '[APT32] enumerated administrative users and DC servers using the commands <code>net localgroup administrators</code> and <code>net group ""Domain Controllers"" /domain</code>.']"
T1059,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of [Unix Shell] while Windows installations include the [Windows Command Shell] and [PowerShell]  There are also cross-platform interpreters such as [Python] as well as those commonly associated with client applications such as [JavaScript] and [Visual Basic]  Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands. Commands and scripts can be embedded in [Initial Access] payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing C2. Adversaries may also execute commands through interactive terminals/shells, as well as utilize various [Remote Services] in order to achieve remote Execution.","['[Fox Kitten] has used a Perl reverse shell to communicate with C2.', '[Stealth Falcon] malware uses WMI to script data collection and command execution on the victim.', ""[FIN7] used SQL scripts to help perform tasks on the victim's machine."", '[DarkComet] can execute various types of scripts on the victim’s machine.', '[FIN6] has used scripting to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.', '[Melcoz] has been distributed through an AutoIt loader script.', 'For [Operation Spalax] the threat actors used Nullsoft Scriptable Install System (NSIS) scripts to install malware.', '[CHOPSTICK] is capable of performing remote command execution.', '[Donut] can generate shellcode outputs that execute via Ruby.\t', '[FIVEHANDS] can receive a command line argument to limit file encryption to specified directories.', '[FIN5] scans processes on all victim systems in the environment and uses automated scripts to pull back the results.', '[Matryoshka] is capable of providing Meterpreter shell access.', '[Imminent Monitor] has a CommandPromptPacket and ScriptPacket module(s) for creating a remote shell and executing scripts.', '[Kessel] can create a reverse shell between the infected host and a specified system.\t', '[APT19] downloaded and launched code within a SCT file.', '[gh0st RAT] is able to open a remote shell to execute commands.', '[APT32] has used COM scriptlets to download Cobalt Strike beacons.\t', '[Dragonfly] has used the command line for execution.', '[P.A.S. Webshell] has the ability to create reverse shells with Perl scripts.', '[WINERACK] can create a reverse shell that utilizes statically-linked Wine cmd.exe code to emulate Windows command prompt commands.', '[Bandook] can support commands to execute Java-based payloads. ', '[Whitefly] has used a simple remote shell tool that will call back to the C2 server and wait for commands.', '[Zeus Panda] can launch remote scripts on the victim’s machine.\t', '[SpeakUp] uses Perl scripts.', '[APT39] has utilized AutoIt and custom scripts to perform internal reconnaissance.', 'Malware used by [Ke3chang] can run commands on the command-line interface.', '[APT37] has used Ruby scripts to execute payloads.', '[Windigo] has used a Perl script for information gathering.', '[Get2] has the ability to run executables with command-line arguments.', '[PoetRAT] has executed a Lua script through a Lua interpreter for Windows.', '[OilRig] has used various types of scripting for execution.', '[Empire] uses a command-line interface to interact with systems.', '[Bonadan] can create bind and reverse shells on the infected system.\t', '[Dragonfly 2.0] used command line for execution.', '[Molerats] used various implants, including those built on .NET, on target machines.\t', '[Exaramel for Windows] has a command to launch a remote shell and executes commands on the victim’s machine.', '[OilRig] has used the command-line interface for execution.', '[BRONZE BUTLER] uses the command-line interface.', 'Several commands are supported by the [Honeybee] implant via the command-line interface and there’s also a utility to execute any custom command on an infected endpoint.', '[FELIXROOT] opens a remote shell to execute commands on the infected system.', '[Denis] can launch a remote shell to execute arbitrary commands on the victim’s machine.', '[APT28] uses cmd.exe to execute commands and custom backdoors.', '[FIN8] executes commands remotely via cmd.exe.', '[MoonWind] can execute commands via an interactive command shell.', '[OSX_OCEANLOTUS.D] can run commands through a terminal on the victim’s machine.', '[TYPEFRAME] can execute commands using a shell.', '[APT1] has used the Windows command shell to execute commands.', '[Lazarus Group] malware uses cmd.exe to execute commands on victims.', ' [Astaroth] spawns a CMD process to execute commands.', '[Emotet] has used cmd.exe to run a PowerShell script.', '[DarkComet] can launch a remote shell to execute commands on the victim’s machine.', '[Cobalt Group] has used a JavaScript backdoor that is capable of launching cmd.exe to execute shell commands.', 'creates a backdoor through which remote attackers can open a command-line interface.', 'APT34 has used the command-line interface for execution.']"
